"INSTNM","CITY","state","degree_offered","CONTROL","region","ADM_RATE","SATVRMID","SATMTMID","num_undergrad","prop_arts_human","prop_business","prop_health_med","prop_interdiscip","prop_public_svce","prop_sci_math_tech","prop_social_sci","prop_trades_personal_svce"
"Hair Academy Inc-New Carrollton","New Carrollton","MD","1","2","2",NA,NA,NA,374,0,0,0,0,0,0,0,1
"Notre Dame of Maryland University","Baltimore","MD","3","2","2",0.4964,530,510,1220,0.0528,0.0889,0.4806,0.2389,0.0056,0.0749,0.0583,0
"Prince George's Community College","Largo","MD","2","1","2",NA,NA,NA,12956,0.0152,0.1833,0.2644,0.3945,0.0321,0.0574,0.0194,0.0338
"TESST College of Technology-Baltimore","Baltimore","MD","1","2","2",NA,NA,NA,661,0,0,0.7604,0,0,0.075,0,0.1646
"Robert Paul Academy of Cosmetology Arts & Sciences","Timonium","MD","1","2","2",NA,NA,NA,29,0,0,0,0,0,0,0,1
"Maryland Beauty Academy of Essex","Baltimore","MD","1","2","2",NA,NA,NA,101,0,0,0,0,0,0,0,1
"Salisbury University","Salisbury","MD","3","1","2",0.5494,575,580,7767,0.0849,0.1341,0.078,0.1192,0.0395,0.1395,0.4048,0
"St Mary's College of Maryland","St. Mary's City","MD","3","1","2",0.7204,620,595,1794,0.2356,0,0,0.0177,0.0311,0.2511,0.4644,0
"Sojourner-Douglass College","Baltimore","MD","3","2","2",NA,NA,NA,1037,0,0,0.4619,0,0.3983,0.0127,0.1271,0
"St John's College","Annapolis","MD","3","2","2",0.8099,NA,NA,443,0,0,0,1,0,0,0,0
"TESST College of Technology-Beltsville","Beltsville","MD","1","2","2",NA,NA,NA,462,0,0,0.5197,0,0.0433,0.2244,0,0.2126
"Towson University","Towson","MD","3","1","2",0.6034,535,545,18534,0.1013,0.1372,0.1092,0.068,0.0289,0.1465,0.4088,0
"Stevenson University","Stevenson","MD","3","2","2",0.5959,490,505,3923,0.0709,0.1986,0.2809,0.0993,0.0893,0.1319,0.129,0
"Washington College","Chestertown","MD","3","2","2",0.6655,580,580,1424,0.1254,0.164,0,0.0386,0,0.2605,0.4116,0
"McDaniel College","Westminster","MD","3","2","2",0.7587,550,555,1662,0.1818,0.0795,0,0.1761,0.0227,0.1647,0.375,0
"Wor-Wic Community College","Salisbury","MD","2","1","2",NA,NA,NA,3090,0,0.2022,0.2978,0.3287,0.091,0.037,0.0432,0
"American International College","Springfield","MA","3","2","1",0.6779,440,445,1513,0.0168,0.1785,0.3064,0.1683,0.1179,0.0404,0.1717,0
"Amherst College","Amherst","MA","3","2","1",0.1428,715,725,1785,0.2256,0,0,0.0928,0.0224,0.272,0.3872,0
"Anna Maria College","Paxton","MA","3","2","1",0.7756,NA,NA,1135,0.0542,0.0917,0.2458,0.0542,0.4209,0.0125,0.1208,0
"Assabet Valley Regional Technical School","Marlborough","MA","1","1","1",0.5098,NA,NA,46,0,0,1,0,0,0,0,0
"Assumption College","Worcester","MA","3","2","1",0.7422,NA,NA,2181,0.1481,0.2698,0.1075,0.0183,0.004,0.1237,0.3286,0
"Babson College","Wellesley","MA","3","2","1",0.2821,595,660,2106,0,1,0,0,0,0,0,0
"Bancroft School of Massage Therapy","Worcester","MA","1","2","1",NA,NA,NA,66,0,0,1,0,0,0,0,0
"Boston Baptist College","Boston","MA","3","2","1",0.8065,450,445,83,0,0,0,0,1,0,0,0
"Bay Path College","Longmeadow","MA","3","2","1",0.576,490,475,1454,0.0066,0.2731,0.0507,0.2577,0.1696,0.0308,0.2115,0
"Bay State College","Boston","MA","2","2","1",0.5845,NA,NA,1196,0.125,0.35,0.3143,0,0.1572,0.0286,0.025,0
"Bay State School of Technology","Canton","MA","1","2","1",NA,NA,NA,200,0,0,0,0,0,0.9216,0,0.0784
"Becker College","Worcester","MA","3","2","1",0.6255,500,505,1871,0.039,0.1832,0.3363,0.0901,0.063,0.1321,0.1561,0
"Bentley University","Waltham","MA","3","2","1",0.4379,585,640,4172,9e-04,0.938,0,0.0046,0,0.0481,0.0083,0
"Berklee College of Music","Boston","MA","3","2","1",0.3617,NA,NA,4402,0.794,0,0.0311,0,0,0.1481,0.0268,0
"Berkshire Community College","Pittsfield","MA","2","1","1",NA,NA,NA,2024,0.0324,0.1068,0.3301,0.2394,0.1068,0.1133,0.0388,0.0324
"Empire Beauty School-Boston","Boston","MA","1","2","1",NA,NA,NA,241,0,0,0,0,0,0,0,1
"Boston Architectural College","Boston","MA","3","2","1",NA,NA,NA,423,0,0,0,0,0,1,0,0
"Boston College","Chestnut Hill","MA","3","2","1",0.3222,665,695,9465,0.1144,0.2024,0.0387,0.0277,0.0076,0.1548,0.4542,0
"The Boston Conservatory","Boston","MA","3","2","1",0.3645,NA,NA,545,1,0,0,0,0,0,0,0
"Boston University","Boston","MA","3","2","1",0.4561,620,665,16460,0.0892,0.1825,0.0855,0.0324,0.0034,0.1852,0.4217,0
"Brandeis University","Waltham","MA","3","2","1",0.3704,655,695,3603,0.1388,0.0388,0,0.1222,0.0752,0.2421,0.3831,0
"Bridgewater State University","Bridgewater","MA","3","1","1",0.786,490,500,9489,0.0988,0.1597,0.0068,5e-04,0.1452,0.088,0.4911,0.0099
"Bristol Community College","Fall River","MA","2","1","1",NA,NA,NA,8250,0.0246,0.1352,0.1404,0.3195,0.1761,0.0913,0.0594,0.0535
"Signature Healthcare Brockton Hospital School of Nursing","Brockton","MA","1","2","1",0.3953,434,522,323,0,0,1,0,0,0,0,0
"Bunker Hill Community College","Boston","MA","2","1","1",NA,NA,NA,12535,0.0278,0.217,0.2633,0.1174,0.122,0.1042,0.1051,0.0432
"Cambridge College","Cambridge","MA","3","2","1",NA,NA,NA,1042,0,0.2776,0.038,0.4106,0.1065,0,0.1673,0
"Cape Cod Community College","West Barnstable","MA","2","1","1",NA,NA,NA,3459,0.0484,0.1263,0.3495,0.1713,0.102,0.0865,0.1159,0
"Catherine Hinds Institute of Esthetics","Woburn","MA","1","2","1",NA,NA,NA,171,0,0,0,0,0,0,0,1
"Laboure College","Milton","MA","2","2","1",0.873,NA,NA,680,0,0,1,0,0,0,0,0
"Clark University","Worcester","MA","3","2","1",0.6154,NA,NA,2312,0.1598,0.0578,0,0.0308,0.0019,0.1946,0.555,0
"Curry College","Milton","MA","3","2","1",0.6692,468,470,2794,0.0372,0.1165,0.4369,0.0178,0.123,0.034,0.2345,0
"Lincoln Technical Institute-Somerville","Somerville","MA","1","2","1",NA,NA,NA,331,0,0,0.766,0,0.1277,0.1064,0,0
"Dean College","Franklin","MA","2","2","1",0.6835,430,420,1238,0.2368,0.1391,0.0414,0.3909,0.0263,0,0.1654,0
"Diman Regional Technical Institute","Fall River","MA","1","1","1",0.3433,NA,NA,80,0,0,1,0,0,0,0,0
"National Aviation Academy of New England","Bedford","MA","1","2","1",NA,NA,NA,247,0,0,0,0,0,0,0,1
"Eastern Nazarene College","Quincy","MA","3","2","1",0.5579,480,470,1313,0.093,0.4302,0.0116,0.0349,0.0639,0.1046,0.2616,0
"Emerson College","Boston","MA","3","2","1",0.4798,630,600,3720,0.465,0.162,0.0245,0.0047,0,0.014,0.3299,0
"Emmanuel College","Boston","MA","3","2","1",0.6049,545,545,2040,0.1046,0.2257,0.1283,0.1069,0,0.1496,0.285,0
"Endicott College","Beverly","MA","3","2","1",0.7165,525,545,2621,0.1223,0.2464,0.0791,0.1762,0.0486,0.0504,0.2769,0
"Rob Roy Academy-Fall River","Fall River","MA","1","2","1",NA,NA,NA,105,0,0,0,0,0,0,0,1
"Fisher College","Boston","MA","2","2","1",0.6273,415,410,1733,0.014,0.4118,0.2017,0.1373,0.0896,0.0168,0.1288,0
"Fitchburg State University","Fitchburg","MA","3","1","1",0.7211,490,500,4148,0.1805,0.139,0.0744,0.1451,0.1049,0.1391,0.217,0
"Framingham State University","Framingham","MA","3","1","1",0.5167,515,525,4255,0.1047,0.1483,0.0245,0.2095,0,0.1688,0.3443,0
"Benjamin Franklin Institute of Technology","Boston","MA","2","2","1",NA,NA,NA,463,0,0,0.063,0,0,0.2835,0,0.6536
"Gordon College","Wenham","MA","3","2","1",0.4133,585,569,1681,0.2369,0.0862,0.0031,0.0123,0.1169,0.1568,0.3876,0
"Greenfield Community College","Greenfield","MA","2","1","1",NA,NA,NA,1980,0.0411,0.1256,0.2271,0.471,0.0314,0.0773,0.0266,0
"Hallmark Institute of Photography","Turners Falls","MA","1","2","1",NA,NA,NA,69,1,0,0,0,0,0,0,0
"Hampshire College","Amherst","MA","3","2","1",0.6369,NA,NA,1468,0.3861,0.0095,0.0285,0.1519,0.0095,0.2025,0.2121,0
"Harvard University","Cambridge","MA","3","2","1",0.0584,750,755,7278,0.1126,0,0,0.0629,0,0.3306,0.4939,0
"Hebrew College","Newton Centre","MA","3","2","1",NA,NA,NA,4,0,0,0,0,0,0,1,0
"Hellenic College-Holy Cross Greek Orthodox School of Theology","Brookline","MA","3","2","1",NA,NA,NA,92,0.45,0.05,0,0.25,0,0,0.25,0
"Henris School of Hair Design","Fitchburg","MA","1","2","1",NA,NA,NA,30,0,0,0,0,0,0,0,1
"College of the Holy Cross","Worcester","MA","3","2","1",0.3297,NA,NA,2878,0.2386,0,0,0.0241,0,0.1775,0.5596,0
"Holyoke Community College","Holyoke","MA","2","1","1",NA,NA,NA,6370,0.0407,0.166,0.1367,0.4603,0.1399,0.0428,0.001,0.0125
"Kay Harvey Academy of Hair Design","West Springfield","MA","1","2","1",NA,NA,NA,46,0,0,0,0,0,0,0,1
"La Baron Hairdressing Academy-Brockton","Brockton","MA","1","2","1",NA,NA,NA,44,0,0,0,0,0,0,0,1
"La Baron Hairdressing Academy-New Bedford","New Bedford","MA","1","2","1",NA,NA,NA,102,0,0,0,0,0,0,0,1
"Lasell College","Newton","MA","3","2","1",0.7614,490,485,1667,0.1354,0.3477,0.0338,0.1231,0.0523,0.0154,0.2923,0
"Lawrence Memorial Hospital School of Nursing","Medford","MA","2","2","1",NA,NA,NA,302,0,0,1,0,0,0,0,0
"Lesley University","Cambridge","MA","3","2","1",0.6749,545,515,1785,0.2911,0.0634,0.0681,0.2653,0.0188,0.0375,0.2558,0
"Lowell Academy Hairstyling Institute","Lowell","MA","1","2","1",NA,NA,NA,102,0,0,0,0,0,0,0,1
"University of Massachusetts-Lowell","Lowell","MA","3","1","1",0.6397,550,580,11830,0.0941,0.1598,0.1035,0.0554,0.1253,0.3463,0.1157,0
"Mansfield Beauty Schools-Springfield","Springfield","MA","1","2","1",NA,NA,NA,38,0,0,0,0,0,0,0,1
"Mansfield Beauty Schools-Quincy","Quincy","MA","1","2","1",NA,NA,NA,60,0,0,0,0,0,0,0,1
"Marian Court College","Swampscott","MA","2","2","1",NA,NA,NA,173,0,0.4483,0,0.2242,0.3276,0,0,0
"University of Massachusetts-Amherst","Amherst","MA","3","1","1",0.6294,590,620,21672,0.0933,0.148,0.068,0.0968,0.0258,0.2885,0.2725,0.007
"University of Massachusetts-Boston","Boston","MA","3","1","1",0.7141,490,525,11786,0.0905,0.1991,0.1805,0.0723,0.078,0.1281,0.2516,0
"Massachusetts Bay Community College","Wellesley Hills","MA","2","1","1",NA,NA,NA,4573,0.0015,0.1137,0.3397,0.2644,0.0916,0.0783,0.0576,0.0532
"MCPHS University","Boston","MA","3","2","1",0.8921,525,570,3808,0,0,0.9819,0,0,0.0169,0.0012,0
"Massachusetts College of Art and Design","Boston","MA","3","1","1",0.6982,550,525,1861,0.9192,0,0,0,0,0.0306,0.0501,0
"Massachusetts Institute of Technology","Cambridge","MA","3","2","1",0.0815,725,775,4510,0.002,0.0355,0,0.0412,0,0.8867,0.0346,0
"Massachusetts Maritime Academy","Buzzards Bay","MA","3","1","1",0.7726,505,550,1362,0,0.169,0,0,0.1162,0.5563,0,0.1585
"Massachusetts School of Barbering","Quincy","MA","1","2","1",NA,NA,NA,91,0,0,0,0,0,0,0,1
"Massasoit Community College","Brockton","MA","2","1","1",NA,NA,NA,7034,0.0238,0.148,0.207,0.3519,0.1346,0.0725,0.0186,0.0434
"Merrimack College","North Andover","MA","3","2","1",0.786,NA,NA,2722,0.0524,0.3441,0.0926,0.1168,0.0584,0.1349,0.2012,0
"MGH Institute of Health Professions","Boston","MA","3","2","1",NA,NA,NA,160,0,0,1,0,0,0,0,0
"Middlesex Community College","Bedford","MA","2","1","1",NA,NA,NA,8871,0.0216,0.1752,0.1937,0.3156,0.1158,0.1234,0.0517,0.0031
"Montserrat College of Art","Beverly","MA","3","2","1",NA,NA,NA,378,0.8732,0,0,0.0986,0,0,0.0282,0
"Mount Holyoke College","South Hadley","MA","3","2","1",0.4681,NA,NA,2154,0.2222,0,0,0.0849,0,0.3073,0.3856,0
"Mount Ida College","Newton","MA","3","2","1",0.6065,445,440,1261,0.0748,0.2384,0.3025,0.0427,0.1032,0.0712,0.0997,0.0676
"Mount Wachusett Community College","Gardner","MA","2","1","1",NA,NA,NA,4222,0.0181,0.1449,0.3997,0.1527,0.1422,0.1293,0,0.0129
"Cortiva Institute-Boston","Watertown","MA","1","2","1",NA,NA,NA,210,0,0,1,0,0,0,0,0
"School of the Museum of Fine Arts-Boston","Boston","MA","3","2","1",0.7681,NA,NA,340,1,0,0,0,0,0,0,0
"Rob Roy Academy-New Bedford","New Bedford","MA","1","2","1",NA,NA,NA,27,0,0,0,0,0,0,0,1
"The New England Conservatory of Music","Boston","MA","3","2","1",0.2777,NA,NA,410,1,0,0,0,0,0,0,0
"New England College of Optometry","Boston","MA","3","2","1",NA,NA,NA,NA,0,0,1,0,0,0,0,0
"New England School of Photography","Boston","MA","1","2","1",NA,NA,NA,66,1,0,0,0,0,0,0,0
"Newbury College","Brookline","MA","3","2","1",0.5953,430,420,961,0.1594,0.3913,0.0362,0.0797,0.0652,0.0217,0.1159,0.1304
"Nichols College","Dudley","MA","3","2","1",0.8047,460,475,1260,0.019,0.7262,0,0.1141,0.0798,0.0038,0.057,0
"Massachusetts College of Liberal Arts","North Adams","MA","3","1","1",0.672,530,500,1483,0.2368,0.1838,0.0056,0.1003,0,0.1726,0.3008,0
"North Bennet Street School","Boston","MA","1","2","1",NA,NA,NA,161,0,0,0,0,0,0,0,1
"North Shore Community College","Danvers","MA","2","1","1",NA,NA,NA,7053,0.0179,0.0547,0.2741,0.345,0.1529,0.0965,0.0085,0.0504
"The New England Institute of Art","Brookline","MA","3","2","1",NA,NA,NA,779,0.4516,0.0548,0,0,0,0.471,0.0226,0
"Northeastern University","Boston","MA","3","2","1",0.3231,685,705,13204,0.0716,0.267,0.1171,0.0071,0.0515,0.2579,0.2279,0
"Northern Essex Community College","Haverhill","MA","2","1","1",NA,NA,NA,6746,0.0456,0.1192,0.3336,0.2024,0.072,0.184,0.0432,0
"College of Our Lady of the Elms","Chicopee","MA","3","2","1",0.7492,470,460,1308,0.0203,0.1153,0.4339,0.0915,0.156,0.078,0.1051,0
"Pine Manor College","Chestnut Hill","MA","3","2","1",0.6411,380,380,221,0.0678,0.1864,0.0508,0,0,0.1864,0.5084,0
"Quincy College","Quincy","MA","2","1","1",NA,NA,NA,4025,0.0174,0.1372,0.4115,0.2361,0.0955,0.059,0.0434,0
"Quinsigamond Community College","Worcester","MA","2","1","1",NA,NA,NA,7647,0.0048,0.1933,0.2625,0.1607,0.1614,0.1552,0.0422,0.0199
"Regis College","Weston","MA","3","2","1",0.7243,470,480,1188,0.0261,0.0494,0.657,0.0611,0.0349,0.0523,0.1192,0
"Roxbury Community College","Roxbury Crossing","MA","2","1","1",NA,NA,NA,2216,0,0.121,0.1752,0.4586,0.1051,0.0955,0.0446,0
"Saint John's Seminary","Brighton","MA","3","2","1",1,NA,NA,35,0,0,0,0,1,0,0,0
"Salem State University","Salem","MA","3","1","1",0.6929,490,495,7134,0.0799,0.2187,0.1307,0.0466,0.1306,0.076,0.3174,0
"Salter College-West Boylston","West Boylston","MA","1","2","1",NA,NA,NA,697,0,0.1455,0.7121,0,0,0,0,0.1424
"Simmons College","Boston","MA","3","2","1",0.4897,575,570,1710,0.0873,0.0671,0.3848,0.1119,0,0.1095,0.2393,0
"Bard College at Simon's Rock","Great Barrington","MA","2","2","1",0.922,NA,NA,344,0.1667,0,0.0083,0.6667,0,0.0666,0.0916,0
"Smith College","Northampton","MA","3","2","1",0.4308,NA,NA,2606,0.2636,0,0,0.086,0,0.2465,0.404,0
"Southeastern Technical Institute","South Easton","MA","1","1","1",0.6604,NA,NA,112,0,0,0.9326,0,0,0,0,0.0674
"Springfield College","Springfield","MA","3","2","1",0.6992,500,525,2157,0.0555,0.0554,0.3348,0.241,0.0554,0.0597,0.1983,0
"Springfield Technical Community College","Springfield","MA","2","1","1",NA,NA,NA,6281,0.0209,0.1065,0.2821,0.182,0.0992,0.2348,0.0246,0.05
"University of Massachusetts-Dartmouth","North Dartmouth","MA","3","1","1",0.7213,520,540,7202,0.1341,0.2971,0.1371,0.0599,0,0.1734,0.1985,0
"Stonehill College","Easton","MA","3","2","1",0.7091,560,570,2473,0.0943,0.2257,0.0247,0.0432,0.0015,0.1887,0.4219,0
"Suffolk University","Boston","MA","3","2","1",0.825,500,510,5535,0.1134,0.3978,0,0.0062,0.0239,0.0617,0.3971,0
"Rob Roy Academy-Taunton","Taunton","MA","1","2","1",NA,NA,NA,37,0,0,0,0,0,0,0,1
"Tufts University","Medford","MA","3","2","1",0.1884,715,730,5146,0.1962,0,0,0.1389,0,0.2442,0.4205,0
"Wellesley College","Wellesley","MA","3","2","1",0.2911,710,700,2347,0.2301,0,0,0.106,0,0.2733,0.3907,0
"Wentworth Institute of Technology","Boston","MA","3","2","1",0.5761,530,580,3975,0.0801,0.2716,0,0,0,0.6322,0,0.0163
"Western New England University","Springfield","MA","3","2","1",0.8151,520,550,2648,0.0366,0.365,0,0.0967,0.0984,0.2233,0.18,0
"Westfield State University","Westfield","MA","3","1","1",0.7487,495,505,5524,0.0756,0.1425,0.0035,0.1139,0.2138,0.1007,0.3502,0
"Wheaton College","Norton","MA","3","2","1",0.6737,NA,NA,1640,0.239,0,0,0.0907,0,0.1593,0.5111,0
"Wheelock College","Boston","MA","3","2","1",0.7318,495,495,839,0.0333,0,0,0.2722,0.1778,0.0278,0.4888,0
"Williams College","Williamstown","MA","3","2","1",0.1702,725,720,2051,0.2776,0,0,0.0399,0,0.2909,0.3916,0
"Worcester Polytechnic Institute","Worcester","MA","3","2","1",0.5159,NA,NA,4012,0,0.06,0,0.0373,0,0.888,0.0147,0
"Worcester State University","Worcester","MA","3","1","1",0.6062,500,515,5033,0.0542,0.1723,0.1863,0,0.0943,0.1518,0.3412,0
"Adrian College","Adrian","MI","3","2","3",0.5628,465,425,1616,0.1617,0.2574,0.0294,0.0772,0.1139,0.1324,0.2279,0
"Albion College","Albion","MI","3","2","3",0.5639,550,550,1284,0.1433,0.0498,0.0156,0.0935,0.0031,0.2243,0.4703,0
"Hillsdale Beauty College","Hillsdale","MI","1","2","3",NA,NA,NA,35,0,0,0,0,0,0,0,1
"Northwestern Technological Institute","Southfield","MI","1","2","3",NA,NA,NA,406,0,0,0,0,0,1,0,0
"Alma College","Alma","MI","3","2","3",0.6791,505,550,1385,0.1495,0.1957,0.0249,0.121,0,0.1601,0.3489,0
"Alpena Community College","Alpena","MI","2","1","3",NA,NA,NA,1418,0.0105,0.0864,0.3168,0.1074,0.089,0.1178,0.0837,0.1885
"Andrews University","Berrien Springs","MI","3","2","3",0.3751,545,525,1765,0.2284,0.0682,0.1522,0.0918,0.0761,0.2099,0.1469,0.0262
"Aquinas College","Grand Rapids","MI","3","2","3",0.7135,NA,NA,1843,0.1698,0.1752,0,0.2318,0.0405,0.0863,0.2964,0
"Baker College of Owosso","Owosso","MI","2","2","3",NA,NA,NA,2726,0,0.1654,0.5037,0.1078,0.0279,0.0929,0.0242,0.0781
"Baker College of Flint","Flint","MI","2","2","3",NA,NA,NA,4886,0.0138,0.1303,0.4947,0.1038,0.0318,0.0869,0.0275,0.1112
"Bay de Noc Community College","Escanaba","MI","2","1","3",NA,NA,NA,2024,0,0.1673,0.3163,0.2592,0.0673,0.1449,0,0.0449
"Bayshire Academy of Beauty Craft Inc","Bay City","MI","1","2","3",NA,NA,NA,41,0,0,0.2698,0,0,0,0,0.7302
"Cadillac Institute of Cosmetology","Cadillac","MI","1","2","3",NA,NA,NA,39,0,0,0,0,0,0,0,1
"Calvin College","Grand Rapids","MI","3","2","3",0.6975,584,595,3895,0.1366,0.1491,0.114,0.0665,0.0464,0.1942,0.2933,0
"Carnegie Institute","Troy","MI","1","2","3",NA,NA,NA,241,0,0,1,0,0,0,0,0
"Central Michigan University","Mount Pleasant","MI","3","1","3",0.6304,500,491,20070,0.0565,0.2356,0.0631,0.1319,0.0634,0.1145,0.3351,0
"Mott Community College","Flint","MI","2","1","3",NA,NA,NA,8349,0.0175,0.0605,0.2301,0.4251,0.0401,0.1764,0.0023,0.048
"Empire Beauty School-Michigan","Grand Rapids","MI","1","2","3",NA,NA,NA,365,0,0,0,0,0,0,0,1
"Cleary University","Ann Arbor","MI","3","2","3",0.7263,540,510,450,0,0.9256,0.0744,0,0,0,0,0
"College for Creative Studies","Detroit","MI","3","2","3",0.486,NA,NA,1352,0.8952,0,0,0,0,0.1048,0,0
"Davenport University","Grand Rapids","MI","3","2","3",0.917,NA,NA,7119,0,0.488,0.3567,0.0211,0.0268,0.1073,0,0
"David Pressley School of Cosmetology","Royal Oak","MI","1","2","3",NA,NA,NA,225,0,0,0,0,0,0,0,1
"Delta College","University Center","MI","2","1","3",NA,NA,NA,8664,0.0254,0.1264,0.1531,0.4718,0.0782,0.0676,0.0055,0.072
"Detroit Business Institute-Downriver","Riverview","MI","1","2","3",NA,NA,NA,76,0,0,1,0,0,0,0,0
"MIAT College of Technology","Canton","MI","1","2","3",0.9593,NA,NA,469,0,0.0413,0,0,0,0,0,0.9587
"University of Detroit Mercy","Detroit","MI","3","2","3",0.6147,545,570,2871,0.057,0.0802,0.4968,0.0052,0.0764,0.1955,0.0892,0
"Dorsey Business Schools-Madison Heights","Madison Heights","MI","1","2","3",NA,NA,NA,203,0,0.0096,0.9904,0,0,0,0,0
"Dorsey Business Schools-Southgate","Southgate","MI","1","2","3",NA,NA,NA,145,0,0.0192,0.9808,0,0,0,0,0
"Eastern Michigan University","Ypsilanti","MI","3","1","3",0.6398,505,515,18543,0.0907,0.205,0.119,0.0778,0.063,0.1019,0.3362,0.0061
"Ferris State University","Big Rapids","MI","3","1","3",0.759,NA,NA,12646,0.0864,0.181,0.195,0.0582,0.1456,0.2211,0.0545,0.0582
"Flint Institute of Barbering Inc","Flint","MI","1","2","3",0.75,NA,NA,56,0,0,0,0,0,0,0,1
"Glen Oaks Community College","Centreville","MI","1","1","3",NA,NA,NA,709,0,0.1012,0.2282,0.1836,0,0.04,0,0.4471
"Kettering University","Flint","MI","3","2","3",0.6159,560,600,1640,0,0.025,0,0,0,0.9751,0,0
"Gogebic Community College","Ironwood","MI","2","1","3",NA,NA,NA,948,0.0036,0.1388,0.3345,0.0463,0.0641,0.1317,0.1104,0.1708
"Grace Bible College","Wyoming","MI","3","2","3",0.7486,NA,NA,576,0.0625,0.0156,0,0.1094,0.8125,0,0,0
"Cornerstone University","Grand Rapids","MI","3","2","3",0.6807,535,508,2100,0.0258,0.5553,0,0.0653,0.1502,0.0257,0.1779,0
"Everest Institute-Grand Rapids","Grand Rapids","MI","1","2","3",NA,NA,NA,576,0,0,1,0,0,0,0,0
"Grand Rapids Community College","Grand Rapids","MI","2","1","3",NA,NA,NA,15635,0.0379,0.1224,0.1566,0.354,0.077,0.0884,0.0718,0.0918
"Grand Valley State University","Allendale","MI","3","1","3",0.826,530,555,21137,0.1157,0.1808,0.1783,0.0399,0.0783,0.1192,0.2877,0
"Great Lakes Christian College","Lansing","MI","3","2","3",NA,NA,NA,194,0,0,0,0.05,0.95,0,0,0
"Henry Ford Community College","Dearborn","MI","2","1","3",NA,NA,NA,12421,0.0362,0.1378,0.2704,0.2442,0.0671,0.1314,0.0558,0.0571
"Hope College","Holland","MI","3","2","3",0.7253,590,605,3296,0.1297,0.1118,0.0596,0.1087,0.0387,0.1892,0.3623,0
"ITT Technical Institute-Wyoming","Wyoming","MI","2","2","3",0.9432,NA,NA,343,0.1327,0.0708,0,0,0.1902,0.6062,0,0
"Jackson College","Jackson","MI","2","1","3",NA,NA,NA,5180,0.0142,0.1427,0.318,0.212,0.0401,0.096,0,0.177
"Wright Beauty Academy","Portage","MI","1","2","3",NA,NA,NA,84,0,0,0,0,0,0,0,1
"Kalamazoo College","Kalamazoo","MI","3","2","3",0.6689,610,615,1427,0.2387,0.0567,0,0.0358,0,0.3075,0.3612,0
"Kalamazoo Valley Community College","Kalamazoo","MI","2","1","3",NA,NA,NA,9139,0.0494,0.1144,0.1511,0.2994,0.0259,0.2167,0.0322,0.1109
"Kellogg Community College","Battle Creek","MI","2","1","3",NA,NA,NA,4986,0.0119,0.0939,0.3775,0.3606,0.0742,0.0455,0.001,0.0356
"Kirtland Community College","Roscommon","MI","1","1","3",NA,NA,NA,1547,0.0551,0.0627,0.5238,0.1328,0.0476,0.0326,0.0075,0.1379
"Michigan College of Beauty-Monroe","Monroe","MI","1","2","3",NA,NA,NA,117,0,0,0,0,0,0,0,1
"Lake Michigan College","Benton Harbor","MI","2","1","3",NA,NA,NA,3252,0.0074,0.1257,0.2495,0.4362,0.0221,0.074,0.0444,0.0406
"Lake Superior State University","Sault Ste Marie","MI","3","1","3",0.9183,515,540,2299,0.0146,0.1248,0.1686,0.1005,0.282,0.1652,0.1441,0
"Lansing Community College","Lansing","MI","2","1","3",NA,NA,NA,13947,0.0756,0.1016,0.3229,0.274,0.0682,0.0786,0.0212,0.0576
"Lawrence Technological University","Southfield","MI","3","2","3",0.4365,555,590,3033,0.0482,0.07,0,0.0066,0,0.8427,0.0328,0
"M J Murphy Beauty College of Mount Pleasant","Mount Pleasant","MI","1","2","3",NA,NA,NA,82,0,0,0,0,0,0,0,1
"Macomb Community College","Warren","MI","2","1","3",NA,NA,NA,13619,0.033,0.1161,0.1456,0.4237,0.0452,0.1361,0.0173,0.083
"Madonna University","Livonia","MI","3","2","3",0.6125,555,575,3080,0.0594,0.1246,0.211,0.1043,0.359,0.046,0.0954,0
"Marygrove College","Detroit","MI","3","2","3",0.9378,NA,NA,1041,0.1199,0.0914,0.1086,0.0572,0.3543,0.0856,0.1828,0
"Rochester College","Rochester Hills","MI","3","2","3",0.6567,NA,NA,960,0.0039,0.2412,0.0506,0.1712,0.0467,0.0039,0.4825,0
"University of Michigan-Ann Arbor","Ann Arbor","MI","3","1","3",0.3326,670,710,28077,0.1346,0.0642,0.0374,0.0867,0.0093,0.3803,0.2875,0
"Michigan Barber School Inc","Detroit","MI","1","2","3",NA,NA,NA,163,0,0,0,0,0,0,0,1
"Michigan State University","East Lansing","MI","3","1","3",0.6865,500,620,37622,0.0666,0.1697,0.0545,0.0696,0.0433,0.2939,0.3012,0.001
"Michigan Technological University","Houghton","MI","3","1","3",0.7659,585,630,5536,0.0154,0.0853,0.0119,0.047,0,0.7714,0.0691,0
"University of Michigan-Dearborn","Dearborn","MI","3","1","3",0.6284,NA,579,6793,0.0584,0.1784,0.0245,0.0805,0.041,0.2651,0.352,0
"University of Michigan-Flint","Flint","MI","3","1","3",0.7809,589,587,6746,0.0944,0.1561,0.2976,0.029,0.0799,0.1198,0.2232,0
"Mid Michigan Community College","Harrison","MI","2","1","3",NA,NA,NA,3098,0.0202,0.1008,0.2977,0.4033,0.0308,0.044,0.0521,0.051
"Monroe County Community College","Monroe","MI","2","1","3",NA,NA,NA,2285,0.0343,0.1282,0.2022,0.4061,0.0343,0.1101,0.0271,0.0578
"Montcalm Community College","Sidney","MI","2","1","3",NA,NA,NA,1643,0,0.1247,0.4085,0.3448,0.0239,0.024,0.0477,0.0265
